0;0;105043024
0;1;0
1;1;107043050
1;1;107543064
2;1;107543080
2;1;108043094
0;1;0
0;2;0
1;2;110043132
1;2;110543146
2;2;110543164
2;2;111043178
0;2;0
0;3;0
1;3;113043216
1;3;113543230
2;3;113543247
2;3;114043260
0;3;0
0;4;0
1;4;116043298
1;4;116543312
2;4;116543329
2;4;117043343
0;4;0
0;5;0
1;5;119043381
1;5;119543395
2;5;119543412
2;5;120043426
0;5;0
0;6;0
1;6;122043464
1;6;122543478
2;6;122543495
2;6;123043509
0;6;0
0;7;0
1;7;125043547
1;7;125543561
2;7;125543577
2;7;126043591
0;7;0
0;8;0
1;8;128043630
1;8;128543644
2;8;128543661
2;8;129043675
0;8;0
0;9;0
1;9;131043713
1;9;131543728
2;9;131543744
2;9;132043760
0;9;0
0;10;0
1;10;134043798
1;10;134543813
2;10;134543829
2;10;135043844
0;10;0
0;11;0
1;11;137043882
1;11;137543897
2;11;137543913
2;11;138043928
0;11;0
0;12;0
1;12;140043967
1;12;140543982
2;12;140543998
2;12;141044014
0;12;0
0;13;0
1;13;143044052
1;13;143544067
2;13;143544083
2;13;144044098
0;13;0
0;14;0
1;14;146044136
1;14;146544151
2;14;146544167
2;14;147044182
0;14;0
0;15;0
1;15;149044221
1;15;149544236
2;15;149544252
2;15;150044267
0;15;0
0;16;0
1;16;152044305
1;16;152544319
2;16;152544336
2;16;153044351
0;16;0
0;17;0
1;17;155044391
1;17;155544405
2;17;155544422
2;17;156044437
0;17;0
0;18;0
1;18;158044476
1;18;158544490
2;18;158544507
2;18;159044522
0;18;0
0;19;0
1;19;161044560
1;19;161544575
2;19;161544591
2;19;162044606
0;19;0
0;20;0
1;20;164044645
1;20;164544660
2;20;164544676
2;20;165044690
0;20;0
0;20;167044718
