0;0;11321886
0;1;0
1;1;13321913
1;1;13821927
2;1;13821943
2;1;14321958
0;1;0
0;2;0
1;2;16321995
1;2;16822010
2;2;16822026
2;2;17322040
0;2;0
0;3;0
1;3;19322077
1;3;19822091
2;3;19822108
2;3;20322122
0;3;0
0;4;0
1;4;22322159
1;4;22822173
2;4;22822189
2;4;23322204
0;4;0
0;5;0
1;5;25322241
1;5;25822255
2;5;25822271
2;5;26322285
0;5;0
0;6;0
1;6;28322322
1;6;28822336
2;6;28822352
2;6;29322366
0;6;0
0;7;0
1;7;31322404
1;7;31822417
2;7;31822433
2;7;32322448
0;7;0
0;8;0
1;8;34322485
1;8;34822499
2;8;34822515
2;8;35322530
0;8;0
0;9;0
1;9;37322567
1;9;37822581
2;9;37822597
2;9;38322611
0;9;0
0;10;0
1;10;40322650
1;10;40822665
2;10;40822681
2;10;41322696
0;10;0
0;11;0
1;11;43322734
1;11;43822749
2;11;43822765
2;11;44322780
0;11;0
0;12;0
1;12;46322818
1;12;46822832
2;12;46822849
2;12;47322863
0;12;0
0;13;0
1;13;49322901
1;13;49822916
2;13;49822932
2;13;50322947
0;13;0
0;14;0
1;14;52322985
1;14;52823001
2;14;52823017
2;14;53323032
0;14;0
