0;0;101131252
0;100;0
1;10;103131280
1;10;103131393
2;10;103131409
2;10;103131525
0;10;0
0;200;0
1;10;105131565
1;10;105131777
2;10;105131793
2;10;105132009
0;10;0
0;300;0
1;10;107132049
1;10;107132362
2;10;107132379
2;10;107132694
0;10;0
0;400;0
1;10;109132735
1;10;109133148
2;10;109133165
2;10;109133581
0;10;0
0;500;0
1;10;111133621
1;10;111134134
2;10;111134151
2;10;111134667
0;10;0
0;600;0
1;10;113134707
1;10;113135320
2;10;113135337
2;10;113135952
0;10;0
0;700;0
1;10;115135993
1;10;115136707
2;10;115136724
2;10;115137440
0;10;0
0;800;0
1;10;117137480
1;10;117138293
2;10;117138309
2;10;117139125
0;10;0
0;900;0
1;10;119139165
1;10;119140078
2;10;119140094
2;10;119141010
0;10;0
0;1000;0
1;10;121141050
1;10;121142063
2;10;121142080
2;10;121143096
0;10;0
0;1000;123143124
