0;0;71961859
0;100;0
1;100;72961888
1;100;72961999
2;100;72962014
2;100;72962127
0;100;0
0;200;0
1;200;74962167
1;200;74962378
2;200;74962393
2;200;74962606
0;200;0
0;300;0
1;300;76962644
1;300;76962956
2;300;76962971
2;300;76963282
0;300;0
0;400;0
1;400;78963322
1;400;78963734
2;400;78963748
2;400;78964161
0;400;0
0;500;0
1;500;80964198
1;500;80964711
2;500;80964725
2;500;80965238
0;500;0
0;600;0
1;600;82965277
1;600;82965890
2;600;82965904
2;600;82966517
0;600;0
0;700;0
1;700;84966555
1;700;84967267
2;700;84967282
2;700;84967993
0;700;0
0;800;0
1;800;86968031
1;800;86968844
2;800;86968859
2;800;86969671
0;800;0
0;900;0
1;900;88969710
1;900;88970622
2;900;88970637
2;900;88971548
0;900;0
0;1000;0
1;1000;90971587
1;1000;90972600
2;1000;90972615
2;1000;90973628
0;1000;0
0;1000;92973657
